"pvp","referencia","controlstock","imagen","codfamilia","codsubcuentairpfcom","descripcion","codsubcuentacom","tipocodbarras","costemedio","stockmax","stockfis","codimpuesto","codbarras","observaciones","stockmin","idsubcuentacom","idsubcuentairpfcom"
"0.0000000","IRF620/O","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2388
POWER MOSFET,N-CHAN,TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF6215STRLPBF","1","RK@articulos@4585BEC2425EF824BD5B38629AD1F417947FEB32","TR",,"Transistor Power MOSFET -150V Single P-Channel HEXFET",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G++","0.0000000",NULL,NULL
"0.0000000","IRF630","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2388
POWER MOSFET,N-CHAN,TO-220","0.0000000",NULL,NULL
"2.6500000","IRF630/O","0",,"TR",,"TRANSISTOR",,"Code39","0.0000000","2.0000000","4.0000000","IVA13",,"G2388
POWER MOSFET,N-CHAN,TO-220
","0.0000000",NULL,NULL
"2.6500000","IRF630A/O","0",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","4.0000000","IVA13",,"G2374
PWR MOSFET, N-CHANNEL, TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF630gen","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2388
POWER MOSFET,N-CHAN,TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF634","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2900","0.0000000",NULL,NULL
"2.1500000","IRF640","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","6.0000000","IVA13",,"G2374
PWR MOSFET, N-CHANNEL, TO-220
","0.0000000",NULL,NULL
"1.9000000","IRF640N/O","0",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","4.0000000","IVA13",,"G2374
PWR MOSFET, N-CHANNEL, TO-220
","0.0000000",NULL,NULL
"1.3000000","IRF640gen","0",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","3.0000000","IVA13",,"G2374
PWR MOSFET, N-CHANNEL, TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF650B","1",,"TR",,"TR",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G++","0.0000000",NULL,NULL
"0.0000000","IRF720","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2391","0.0000000",NULL,NULL
"0.0000000","IRF730A","1",,"IC",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G67","0.0000000",NULL,NULL
"0.0000000","IRF730A/O","1",,"TR",,"MOSFET-POWER-N-CHAN,FAST SW,TO-220",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G67
MOSFET-POWER-N-CHAN,FAST SW,TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF730Ao","1",,"IC",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G67","0.0000000",NULL,NULL
"2.0000000","IRF740/O","0",,"TR",,"MOSFETs N-Chan 400V 10 Amp",,"Code39","0.0000000","2.0000000","4.0000000","IVA13",,"G2397","0.0000000",NULL,NULL
"0.0000000","IRF820","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2398","0.0000000",NULL,NULL
"0.0000000","IRF830","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2398","0.0000000",NULL,NULL
"0.0000000","IRF840","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2385","0.0000000",NULL,NULL
"0.0000000","IRF840/O","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2385
MOSFET,N-CH HI SPEED SWITCH,TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF9530","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2383
MOSFET,P-CH HI SPEED SWITCH,TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF9540/O","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2371
PWR MOSFET, P-CHANNEL, TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF9610","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2372","0.0000000",NULL,NULL
"0.0000000","IRF9630","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2373
PWR MOSFET, P-CHANNEL, TO-220
","0.0000000",NULL,NULL
"1.6000000","IRF9630/O","0",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","4.0000000","IVA13",,"G2373
PWR MOSFET, P-CHANNEL, TO-220
","0.0000000",NULL,NULL
"2.1500000","IRF9640","0",NULL,"TR",NULL,"PWR MOSFET, P-CHANNEL, TO-220",NULL,"Code39",NULL,"0.0000000","4.0000000",NULL,NULL,"G2373
PWR MOSFET, P-CHANNEL, TO-220
","0.0000000",NULL,NULL
"2.0000000","IRF9640/O","0",NULL,"TR",NULL,"PWR MOSFET, P-CHANNEL, TO-220",NULL,"Code39",NULL,"0.0000000","4.0000000",NULL,NULL,"G2373
PWR MOSFET, P-CHANNEL, TO-220","0.0000000",NULL,NULL
"0.0000000","IRFI9Z34G","1",,"TR",,"TRANSISTOR",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G++
-60V Single P-Channel HEXFET Power MOSFET","0.0000000",NULL,NULL
"0.0000000","IRFP044","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2920","0.0000000",NULL,NULL
"0.0000000","IRFP140Njap","1",,"TR",,"MOSFET-PWR N-CHAN,HI SPD SW, TO-247",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2375
MOSFET-PWR N-CHAN,HI SPD SW, TO-247
","0.0000000",NULL,NULL
"0.0000000","IRFP150","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2375","0.0000000",NULL,NULL
"0.0000000","IRFP250N","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2376
MOSFET-PWR N-CHAN,HI SPD SW, TO-247
","0.0000000",NULL,NULL
